[C-CORE] Booting Headless Unity Build...
[C-CORE] Routing to scripts/bot.lua...
[BOT:50006] Booting Headless Chaos Node...
[LAB] Initializing Headless Node on Port 50006...
[HEARTBEAT] Node: 0 | Tick:  2401 | Conf:  2399 | Hash: 0x76549989 | Rollbacks: 16 (Resim:  16) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2461 | Conf:  2459 | Hash: 0x5F373191 | Rollbacks: 13 (Resim:  13) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2521 | Conf:  2519 | Hash: 0xBA0EE2B7 | Rollbacks:  3 (Resim:   3) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2581 | Conf:  2579 | Hash: 0x72ECED0C | Rollbacks: 14 (Resim:  14) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2641 | Conf:  2639 | Hash: 0x6A091E2B | Rollbacks:  7 (Resim:   7) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2701 | Conf:  2699 | Hash: 0x73DBE8F8 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2761 | Conf:  2759 | Hash: 0x3F281D00 | Rollbacks:  9 (Resim:   9) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2821 | Conf:  2819 | Hash: 0x2897B627 | Rollbacks:  7 (Resim:   7) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2881 | Conf:  2879 | Hash: 0xCE17A401 | Rollbacks: 23 (Resim:  23) | Stalls:  0
[BOT:50006] Heartbeat - Sparse Mods Tracked: 2048
[HEARTBEAT] Node: 0 | Tick:  2941 | Conf:  2939 | Hash: 0xB5D8C6A7 | Rollbacks: 20 (Resim:  20) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  3001 | Conf:  2999 | Hash: 0x9B17B1F1 | Rollbacks:  2 (Resim:   2) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  3061 | Conf:  3059 | Hash: 0x3A3F495E | Rollbacks: 22 (Resim:  22) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  3121 | Conf:  3119 | Hash: 0x4E58DDDA | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  3181 | Conf:  3179 | Hash: 0xF17496F8 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  3241 | Conf:  3239 | Hash: 0x864584E5 | Rollbacks:  7 (Resim:   7) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  3301 | Conf:  3299 | Hash: 0xBDEEE9BC | Rollbacks: 19 (Resim:  19) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  3361 | Conf:  3359 | Hash: 0x56CD8D9A | Rollbacks: 18 (Resim:  18) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  3421 | Conf:  3419 | Hash: 0xAD6EFC9E | Rollbacks: 12 (Resim:  12) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  3481 | Conf:  3479 | Hash: 0x8519F4CA | Rollbacks:  2 (Resim:   2) | Stalls:  0
[BOT:50006] Heartbeat - Sparse Mods Tracked: 2048
[HEARTBEAT] Node: 0 | Tick:  3541 | Conf:  3539 | Hash: 0x47DEBDA5 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  3601 | Conf:  3599 | Hash: 0x5BF989CC | Rollbacks:  7 (Resim:   7) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  3661 | Conf:  3659 | Hash: 0xE8E8306E | Rollbacks:  4 (Resim:   4) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  3721 | Conf:  3719 | Hash: 0xF534A02C | Rollbacks: 11 (Resim:  11) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  3781 | Conf:  3779 | Hash: 0x776F480E | Rollbacks: 11 (Resim:  11) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  3841 | Conf:  3839 | Hash: 0x7B31C58E | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  3901 | Conf:  3899 | Hash: 0x9F0410F9 | Rollbacks: 22 (Resim:  22) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  3961 | Conf:  3959 | Hash: 0x3378D36A | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  4021 | Conf:  4019 | Hash: 0xF423E0E3 | Rollbacks:  4 (Resim:   4) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  4081 | Conf:  4079 | Hash: 0xBAAB22A3 | Rollbacks:  3 (Resim:   3) | Stalls:  0
[BOT:50006] Heartbeat - Sparse Mods Tracked: 2048
[HEARTBEAT] Node: 0 | Tick:  4141 | Conf:  4139 | Hash: 0x9143A31F | Rollbacks: 21 (Resim:  21) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  4201 | Conf:  4199 | Hash: 0xD077C8E5 | Rollbacks: 22 (Resim:  22) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  4261 | Conf:  4259 | Hash: 0x1E3DCC8A | Rollbacks:  1 (Resim:   1) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  4321 | Conf:  4319 | Hash: 0x204ED82C | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  4381 | Conf:  4379 | Hash: 0x699B5962 | Rollbacks: 22 (Resim:  22) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  4441 | Conf:  4439 | Hash: 0x4D75BF4E | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  4501 | Conf:  4499 | Hash: 0x7300C82B | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  4561 | Conf:  4559 | Hash: 0xB173F7A9 | Rollbacks: 23 (Resim:  23) | Stalls:  0
