[C-CORE] Booting Headless Unity Build...
[C-CORE] Routing to scripts/bot.lua...
[BOT:50005] Booting Headless Chaos Node...
[LAB] Initializing Headless Node on Port 50005...
[HEARTBEAT] Node: 1 | Tick:    61 | Conf:    59 | Hash: 0x48499267 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:   121 | Conf:   119 | Hash: 0xC5B96A65 | Rollbacks: 58 (Resim:  58) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:   181 | Conf:   179 | Hash: 0x22E759BA | Rollbacks: 58 (Resim:  62) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:   241 | Conf:   239 | Hash: 0xE9388A40 | Rollbacks: 58 (Resim:  69) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:   301 | Conf:   299 | Hash: 0xBACCCFC9 | Rollbacks: 58 (Resim:  78) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:   361 | Conf:   359 | Hash: 0x3FE7451C | Rollbacks: 58 (Resim:  83) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:   421 | Conf:   419 | Hash: 0x394D2CE8 | Rollbacks: 42 (Resim:  42) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:   481 | Conf:   479 | Hash: 0x50AE8B09 | Rollbacks: 43 (Resim:  47) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:   541 | Conf:   539 | Hash: 0x64CB099A | Rollbacks: 37 (Resim:  37) | Stalls:  0
[BOT:50005] Heartbeat - Sparse Mods Tracked: 1047
[HEARTBEAT] Node: 1 | Tick:   601 | Conf:   599 | Hash: 0x5153FBF9 | Rollbacks: 39 (Resim:  47) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:   661 | Conf:   659 | Hash: 0x51EF84C6 | Rollbacks: 40 (Resim:  40) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:   721 | Conf:   719 | Hash: 0xA38D7366 | Rollbacks: 41 (Resim:  41) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:   781 | Conf:   779 | Hash: 0x0BB42F83 | Rollbacks: 40 (Resim:  40) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:   841 | Conf:   839 | Hash: 0x0C3150C9 | Rollbacks: 39 (Resim:  39) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:   901 | Conf:   899 | Hash: 0x229D85C6 | Rollbacks: 39 (Resim:  39) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:   961 | Conf:   959 | Hash: 0xF73B353D | Rollbacks: 40 (Resim:  40) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:  1021 | Conf:  1019 | Hash: 0xA54CB25C | Rollbacks: 40 (Resim:  40) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:  1081 | Conf:  1079 | Hash: 0x025E9A16 | Rollbacks: 55 (Resim:  71) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:  1141 | Conf:  1139 | Hash: 0x9BD86A08 | Rollbacks: 43 (Resim:  59) | Stalls:  0
[BOT:50005] Heartbeat - Sparse Mods Tracked: 2048
[HEARTBEAT] Node: 1 | Tick:  1201 | Conf:  1199 | Hash: 0x131E223D | Rollbacks: 59 (Resim:  59) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:  1261 | Conf:  1259 | Hash: 0xD2758A58 | Rollbacks: 59 (Resim:  74) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:  1321 | Conf:  1319 | Hash: 0x674CE3BE | Rollbacks: 54 (Resim:  54) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:  1381 | Conf:  1379 | Hash: 0xCA0B5A18 | Rollbacks: 47 (Resim:  66) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:  1441 | Conf:  1438 | Hash: 0xB342B3F4 | Rollbacks: 59 (Resim:  82) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:  1501 | Conf:  1499 | Hash: 0x15261B5C | Rollbacks: 49 (Resim:  52) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:  1561 | Conf:  1559 | Hash: 0x006123CD | Rollbacks: 56 (Resim:  56) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:  1621 | Conf:  1619 | Hash: 0x48672634 | Rollbacks: 43 (Resim:  62) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:  1681 | Conf:  1679 | Hash: 0x95BF7449 | Rollbacks: 59 (Resim:  73) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:  1741 | Conf:  1739 | Hash: 0x6F85D818 | Rollbacks: 59 (Resim:  62) | Stalls:  0
[BOT:50005] Heartbeat - Sparse Mods Tracked: 2048
[HEARTBEAT] Node: 1 | Tick:  1801 | Conf:  1799 | Hash: 0x9F6D80BA | Rollbacks: 57 (Resim:  72) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:  1861 | Conf:  1859 | Hash: 0xC186BEB9 | Rollbacks: 60 (Resim:  60) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:  1921 | Conf:  1919 | Hash: 0x513BEADA | Rollbacks: 57 (Resim:  73) | Stalls:  0
[HEARTBEAT] Node: 1 | Tick:  1981 | Conf:  1979 | Hash: 0x81A4D8D3 | Rollbacks: 49 (Resim:  49) | Stalls:  0
